gene_symbol,half_life_hours
ATF1,3.312
ATF2,3.219
ATF3,1.216
ATF4,5.012
ATF5,5.614
ATF6,7.779
ATF6B,24.994
ATF7,5.244
ATF7IP,1.697
ATF7IP2,5.664
ATG10,5.832
ATG101,1.446
ATG12,9.497
ATG13,9.335
ATG14,2.3
ATG16L1,1.746
ATG16L2,9.363
ATG2A,8.036
ATG2B,5.076
ATG3,8.237
ATG4A,8.346
ATG4B,15.892
ATG4C,6.458
ATG4D,3.791
ATG5,4.635
ATG7,6.121
ATG9A,12.892
ATG9B,2.867
ATIC,17.787
ATL1,4.378
ATL3,7.945
ATM,5.97
ATMIN,2.302
ATN1,14.592
ATOH8,1.214
ATOX1,19.728
ATP10A,5.081
ATP10D,8.135
ATP11A,5.198
ATP11B,8.37
ATP11C,10.679
ATP13A1,11.437
ATP13A2,20.946
ATP13A3,6.235
ATP1A1,37.402
ATP1B1,3.429
ATP1B2,10.454
ATP1B3,22.149
ATP23,3.643
ATP2A1,7.59
ATP2A2,7.631
ATP2B1,3.936
ATP2B2,5.418
ATP2B3,6.37
ATP2B4,9.133
ATP2C1,15.105
ATP4A,10.438
ATP4B,6.289
ATP5F1A,23.493
ATP5F1B,38.015
ATP5F1C,30.871
ATP5IF1,33.62
ATP5MC2,62.394
ATP5MC3,44.089
ATP5PB,31.409
ATP5PD,41.95
ATP5PO,68.087
ATP6AP1,42.593
ATP6AP2,33.791
ATP6V0A1,11.624
ATP6V0A2,5.441
ATP6V0B,17.184
ATP6V0C,26.618
ATP6V0D1,16.333
ATP6V0E1,6.665
ATP6V0E2,35.192
ATP6V1A,12.762
ATP6V1B1,5.284
ATP6V1B2,5.625
ATP6V1C1,10.502
ATP6V1C2,19.829
ATP6V1D,11.636
ATP6V1E1,14.112
ATP6V1E2,9.288
ATP6V1G1,16.534
ATP6V1H,7.262
ATP7A,6.088
ATP7B,6.772
ATP8A1,5.643
ATP8A2,12.106
ATP8B3,9.687
ATP9A,8.168
ATP9B,6.624
ATPAF1,33.894
ATPAF2,11.701
ATPSCKMT,6.451
ATR,4.444
ATRAID,37.251
ATRIP,2.54
ATRN,8.515
ATRNL1,16.086
ATRX,5.313
ATXN1,2.524
ATXN10,17.86
ATXN1L,1.852
ATXN2,2.044
ATXN2L,6.948
ATXN3,6.864
ATXN7,1.819
ATXN7L1,2.166
ATXN7L2,1.51
ATXN7L3B,2.529
AUH,7.194
AUNIP,0.876
AUP1,12.448
AURKA,2.128
AURKAIP1,20.484
AURKB,5.006
AURKC,11.39
AUTS2,1.234
AVEN,9.273
AVL9,3.148
AVPI1,1.203
AVPR2,8.902
AXIN1,2.042
AXIN2,0.473
AXL,12.373
AZI2,9.756
AZIN1,5.671
AZIN2,7.309
AZU1,23.114
B2M,46.859
B3GALNT1,5.977
B3GALNT2,8.984
B3GALT1,1.626
B3GALT4,0.996
B3GALT6,2.384
B3GAT1,13.19
B3GAT2,5.336
B3GAT3,10.13
B3GLCT,9.255
B3GNT2,0.724
B3GNT3,3.887
B3GNT4,1.787
B3GNT5,2.035
B3GNT6,6.355
B3GNT7,4.266
B3GNT8,1.628
B3GNT9,4.022
B3GNTL1,7.795
B4GALNT1,13.786
B4GALNT2,6.926
B4GALNT3,7.879
B4GALT1,5.025
B4GALT2,11.79
B4GALT3,5.029
B4GALT4,5.654
B4GALT5,1.748
B4GALT6,5.96
B4GALT7,10.385
B4GAT1,8.389
B9D1,15.604
B9D2,2.713
BABAM1,44.63
BABAM2,17.644
BACE1,11.448
BACE2,21.16
BACH1,1.309
BACH2,1.465
BAD,14.46
BAG2,2.323
BAG3,1.948
BAG4,1.417
BAG5,1.017
BAG6,37.478
BAHCC1,4.128
BAHD1,1.769
BAIAP2,3.021
BAIAP2L1,6.717
BAIAP2L2,5.629
BAIAP3,14.998
BAK1,5.619
BAMBI,0.251
BANF1,37.707
BANP,2.373
BAP1,15.604
BARD1,1.443
BARHL1,7.583
BARHL2,1.061
BARX1,14.741
BARX2,4.619
BASP1,5.7
BATF,2.425
BATF2,0.965
BATF3,7.259
BAZ1A,2.58
BAZ1B,3.027
BAZ2A,6.535
BAZ2B,2.83
BBC3,1.057
BBIP1,13.99
BBLN,49.399
BBOF1,16.483
BBS1,9.0
BBS10,1.431
BBS12,0.61
BBS2,12.136
BBS4,16.168
BBS5,4.511
BBS7,12.143
BBS9,14.263
BBX,3.909
BCAM,26.862
BCAN,3.211
BCAP29,13.912
BCAP31,44.449
BCAR1,1.504
BCAR3,0.72
BCAS1,10.14
BCAS2,4.956
BCAS4,15.36
BCAT1,22.834
BCCIP,13.461
BCDIN3D,0.715
BCKDHB,18.338
BCKDK,14.682
BCL10,0.932
BCL11A,3.618
BCL2,1.905
BCL2A1,5.138
BCL2L1,2.71
BCL2L10,5.454
BCL2L11,1.325
BCL2L12,15.282
BCL2L13,5.465
BCL2L2,6.456
BCL2L2-PABPN1,13.962
BCL3,0.856
BCL6,1.656
BCL6B,1.784
BCL7A,1.351
BCL7B,3.043
BCL9,1.675
BCL9L,1.898
BCLAF1,6.415
BCLAF3,4.435
BCOR,0.872
BCORL1,1.574
BCR,4.091
BCS1L,12.486
BDH1,8.661
BDH2,20.195
BDNF,0.541
BDP1,3.024
BECN1,17.08
BEGAIN,4.861
BEND3,1.449
BEND4,4.585
BEND6,11.689
BEND7,3.004
BEST1,19.509
BET1L,2.243
BEX1,34.032
BEX2,18.06
BEX3,45.824
BEX4,5.447
BFAR,2.856
BFSP1,4.911
BFSP2,9.096
BGN,25.224
BHLHB9,5.519
BHLHE40,0.347
BHLHE41,0.989
BICD1,2.393
BICD2,3.131
BICRA,1.326
BICRAL,0.903
BID,18.487
BIK,4.261
BIN1,16.907
BIN3,2.392
BIRC2,3.618
BIRC3,1.987
BIRC5,17.751
BIRC6,2.814
BIRC7,15.795
BIVM,8.143
BLCAP,3.682
BLK,9.756
BLM,2.514
BLMH,13.522
BLNK,3.869
BLOC1S1,39.833
BLOC1S2,7.462
BLOC1S3,0.728
BLOC1S4,1.03
BLOC1S5,2.717
BLOC1S6,6.733
BLVRA,12.614
BLVRB,33.654
BLZF1,2.554
BMF,1.067
BMI1,5.606
BMP1,21.616
BMP2,0.466
BMP2K,3.302
BMP3,1.917
BMP4,0.486
BMP6,3.649
BMP7,9.34
BMP8B,7.327
BMPR1A,1.616
BMPR1B,2.07
BMPR2,4.023
BMS1,5.857
BMT2,0.697
BNC1,1.507
BNC2,1.953
BNIP1,2.532
BNIP2,2.469
BNIP3,16.993
BNIP3L,18.189
BNIPL,7.47
BOC,2.828
BOD1,3.601
BOD1L1,3.342
BOK,2.891
BOLA1,1.663
BOLA3,36.762
BORA,1.341
BORCS5,3.39
BORCS6,0.482
BORCS7,16.584
BORCS8,5.328
BORCS8-MEF2B,3.041
BPGM,4.755
BPHL,13.591
BPNT1,13.177
BPNT2,6.102
BPTF,3.279
BRAF,3.004
BRAP,2.459
BRAT1,7.679
BRCA1,6.17
BRCA2,1.95
BRCC3,8.323
BRD1,1.223
BRD2,0.977
BRD3,3.382
BRD4,4.718
BRD8,3.875
BRD9,5.211
BRF1,3.037
BRF2,0.468
BRI3,12.354
BRI3BP,4.189
BRICD5,5.846
BRIP1,3.001
BRIX1,1.568
BRK1,43.291
BRMS1,9.866
BRMS1L,7.059
BROX,7.244
BRPF1,0.672
BRPF3,2.336
BRSK1,5.369
BRSK2,8.09
BRWD1,2.971
BRWD3,6.816
BSCL2,10.954
BSDC1,5.719
BSG,49.299
BSN,2.683
BSPRY,6.343
BST2,39.35
BTAF1,3.506
BTBD1,12.442
BTBD10,3.549
BTBD11,1.85
BTBD2,13.863
BTBD3,2.959
BTBD6,6.795
BTBD7,1.762
BTBD8,2.194
BTBD9,1.824
BTD,10.837
BTF3,22.037
BTF3L4,4.411
BTG1,0.619
BTG2,0.488
BTG3,3.04
BTK,28.118
BTLA,3.962
BTN2A1,2.63
BTN2A2,3.616
BTN3A1,5.616
BTN3A2,9.575
BTN3A3,3.676
BTNL9,8.112
BTRC,3.529
BUB1,8.059
BUB1B,5.341
BUB3,6.324
BUD13,0.601
BUD31,15.074
BVES,8.433
BYSL,1.419
BZW1,13.433
BZW2,13.863
C10orf62,2.783
C10orf88,1.486
C10orf99,5.964
C11orf1,20.442
C11orf21,5.347
C11orf24,3.891
C11orf54,20.819
C11orf58,18.45
C11orf65,4.697
C11orf68,1.643
C11orf71,2.041
C11orf87,1.607
C11orf98,7.211
C12orf29,4.41
C12orf4,4.559
C12orf43,2.522
C12orf60,1.18
C12orf73,4.909
C12orf75,36.207
C14orf119,2.439
C14orf28,2.047
C14orf93,2.48
C15orf39,0.411
C15orf61,2.342
C16orf46,4.378
C16orf54,2.549
C16orf72,1.05
C16orf74,7.085
C16orf89,7.905
C16orf91,0.911
