gene_symbol,half_life_hours
Actr1b,13.132
Actr2,16.007
Actr3,7.484
Actr3b,21.663
Actr5,2.008
Actr6,3.192
Actr8,1.799
Actrt1,203.048
Actrt2,19.004
Acvr1,0.92
Acvr1b,1.369
Acvr2a,0.878
Acvr2b,4.313
Acvrl1,20.801
Acy1,17.239
Acy3,17.953
Acyp1,25.048
Acyp2,15.797
Ada,18.34
Adal,10.508
Adam10,11.924
Adam11,11.973
Adam12,3.852
Adam15,23.0
Adam17,10.121
Adam19,3.651
Adam1a,6.962
Adam21,11.961
Adam22,6.247
Adam23,15.942
Adam25,8.373
Adam33,8.142
Adam4,3.484
Adam8,5.727
Adam9,16.138
Adamts1,0.482
Adamts10,9.827
Adamts12,7.663
Adamts13,5.146
Adamts15,2.183
Adamts17,6.167
Adamts18,8.595
Adamts19,13.943
Adamts2,22.745
Adamts3,11.461
Adamts4,2.208
Adamts5,2.476
Adamts6,1.267
Adamts7,7.796
Adamts8,2.716
Adamts9,10.888
Adamtsl1,3.283
Adamtsl2,17.117
Adamtsl4,24.051
Adamtsl5,13.019
Adap1,6.264
Adap2,1.571
Adar,2.897
Adarb1,1.855
Adat1,2.715
Adat2,3.386
Adat3,1.253
Adck1,4.096
Adck2,3.285
Adck5,4.612
Adcy1,4.196
Adcy3,9.708
Adcy4,8.46
Adcy5,6.064
Adcy6,2.647
Adcy7,4.47
Adcy9,2.734
Adcyap1r1,3.722
Add1,25.355
Add2,7.26
Add3,6.594
Adgra2,10.276
Adgra3,7.112
Adgrb2,6.434
Adgre5,6.923
Adgrg1,3.488
Adgrg6,6.318
Adgrl1,9.772
Adgrl2,2.42
Adgrl3,4.751
Adh1,10.214
Adh4,4.169
Adh5,14.257
Adh7,9.158
Adhfe1,18.85
Adi1,14.301
Adipoq,1.52
Adipor1,11.084
Adipor2,3.424
Adk,17.953
Adm,0.894
Adm2,7.765
Adnp,0.712
Adnp2,0.36
Ado,1.123
Adora1,4.067
Adora2a,2.116
Adora2b,0.404
Adpgk,3.505
Adprh,10.381
Adprm,2.389
Adprs,2.154
Adra1a,3.812
Adra1b,6.478
Adra1d,3.811
Adra2a,3.824
Adra2b,5.132
Adrb2,0.539
Adrb3,5.788
Adrm1,2.47
Adsl,7.8
Adss,5.073
Adssl1,10.994
Aebp1,22.356
Aen,2.583
Afap1,3.225
Afap1l1,2.924
Afdn,4.705
Aff1,1.256
Aff3,6.367
Aff4,2.45
Afg3l2,4.692
Afmid,8.124
Afp,13.165
Aga,23.929
Agap1,2.779
Agap2,6.261
Agap3,3.117
Agbl3,12.744
Agbl5,10.329
Ager,7.195
Agfg1,2.827
Agfg2,2.601
Aggf1,3.029
Agk,3.852
Agl,8.271
Agmat,22.356
Ago1,4.72
Ago2,3.587
Ago3,6.584
Ago4,4.917
Agpat1,16.586
Agpat2,3.384
Agpat3,18.584
Agpat4,3.631
Agpat5,4.127
Agps,6.69
Agrn,22.401
Agrp,8.718
Agt,2.039
Agtpbp1,6.343
Agtr1a,1.899
Agtr2,56.149
Agtrap,6.695
Ahctf1,1.812
Ahcy,21.597
Ahcyl1,8.758
Ahcyl2,8.678
Ahdc1,0.815
Ahi1,19.912
Ahnak,6.389
Ahr,0.678
Ahrr,1.66
Ahsa1,6.883
Ahsa2,4.386
Ahsg,6.853
Aicda,5.411
Aida,9.644
Aif1l,12.009
Aifm1,8.887
Aifm2,12.212
Aifm3,9.384
Aig1,7.526
Aim2,2.384
Aimp1,9.345
Aimp2,4.627
Aip,12.933
Aipl1,22.676
Aire,19.953
Ajuba,0.548
Ak1,17.326
Ak2,9.284
Ak3,14.879
Ak4,3.105
Ak5,15.495
Ak6,5.043
Ak7,15.975
Akap1,2.235
